candidate_id,post_id,candidate_kind,event_name,start_date,end_date,location,format,evidence_source,evidence_slide_index,label_status,label_notes
GDG-003-C01,GDG-003,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta - Floor 45",IN_PERSON,caption,,caption_only,"Session: Having fun with Gemini for Building Embedded Project"
GDG-004-C01,GDG-004,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta - Floor 45",IN_PERSON,caption,,caption_only,"Session: Privacy-First AI Pipelines with the Gemma Ecosystem"
GDG-005-C01,GDG-005,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta - Floor 45",IN_PERSON,caption,,caption_only,"Session: Agentic Workflow for Android Development"
GDG-006-C01,GDG-006,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta - Floor 45",IN_PERSON,caption,,caption_only,"Session: Offline Chat Assistant with Gemma"
GDG-007-C01,GDG-007,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta - Floor 45",IN_PERSON,caption,,caption_only,"Morning and afternoon tracks are parts of one main event"
GDG-010-C01,GDG-010,EVENT,,2026-08-29,,"Grab Indonesia, South Quarter",IN_PERSON,caption,,needs_review,"Event name must be read from slide; do not promote the opening sentence into a title"
GDG-012-C01,GDG-012,EVENT,,2026-07-22,,GDG Indonesia YouTube Channel,ONLINE,caption,,needs_review,"Overview supplies date/format but not the individual session title; linked manually to the July 22 canonical event"
GDG-012-C02,GDG-012,EVENT,,2026-07-24,,GDG Indonesia YouTube Channel,ONLINE,caption,,needs_review,"Overview supplies date/format but not the individual session title; linked manually to the July 24 canonical event"
GDG-012-C03,GDG-012,EVENT,Cloud Next Extended x Koding Deep Dive Main Event,2026-08-01,,"Google Indonesia Office, Jakarta",IN_PERSON,caption,,needs_review,"The overview compresses the August 1 programs; separate registration path identifies Track 1"
GDG-012-C04,GDG-012,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta",IN_PERSON,caption,,needs_review,"The overview compresses the August 1 programs; separate IOX registration identifies Track 2"
GDG-013-C01,GDG-013,EVENT,Spec-Driven Development with Antigravity CLI,2026-07-22,,GDG Indonesia YouTube Channel,ONLINE,caption,,caption_only,"Track 1 online technical session"
GDG-013-C02,GDG-013,EVENT,Vibe-code Your App Quality & Security,2026-07-24,,GDG Indonesia YouTube Channel,ONLINE,caption,,caption_only,"Track 1 online technical session"
GDG-013-C03,GDG-013,EVENT,Cloud Next Extended x Koding Deep Dive Main Event,2026-08-01,,"Google Indonesia Office, Jakarta",IN_PERSON,caption,,caption_only,"Track 1 full-day hands-on lab and Gemma Hackathon"
GDG-013-C04,GDG-013,EVENT,Google I/O Extended Jakarta 2026,2026-08-01,,"Google Indonesia Office, Jakarta",IN_PERSON,caption,,caption_only,"Track 2 full-day conference"
GAR-006-C01,GAR-006,EVENT,GDG Cloud Jakarta Monthly Meetup - Road to DevFest,2026-08-31,,"Garuda Spark Innovation Hub, fX Sudirman, Jakarta Pusat",IN_PERSON,caption,,caption_only,"Session topic: Streaming as Nervous System"
GAR-008-C01,GAR-008,EVENT,Alibaba.com Success Camp Jakarta,,,Jakarta,IN_PERSON,caption,,needs_review,"Caption omits the date; slide evidence is required"
IDR-001-C01,IDR-001,EVENT,Community Meetup Road to IPC 2026 - The Profitability Shift,2026-09-05,,"Apple Developer Academy, Green Office Park 9, BSD",IN_PERSON,caption,,caption_only,"Multiple speakers share one program and registration flow"
IDR-002-C01,IDR-002,EVENT,AI Toolkit for Product Design - How Designers Use AI Across the Entire Design Workflow,2026-08-26,,Online,ONLINE,caption,,caption_only,"Caption references Zoom breakout networking and one registration destination"
IDR-005-C01,IDR-005,EVENT,FUSECON 2026 Jakarta Community Meetup,2026-05-23,,"Apple Developer Academy at BINUS, Green Office Park 9, BSD, Tangerang",IN_PERSON,caption,,caption_only,"Primary Instagram author is fusecon.asia; sampled through an IDR collaboration post"
IDR-007-C01,IDR-007,EVENT,How a Product Manager Thinks - Roadmap for Financial Tech,2026-04-10,,"A-Hall, Amartha Village, Jakarta Selatan",IN_PERSON,caption,,caption_only,
LIF-003-C01,LIF-003,EVENT,IdeaFest 2026 - IdeaTalks Day 1,2026-09-04,,"JICC, Jakarta",IN_PERSON,caption,,caption_only,"Lisa Widodo appearance is a session inside the Day 1 pass, not a separate canonical event"
LIF-004-C01,LIF-004,EVENT,BlibliTalk 13 - The Augmented Mind: How to Build a Career That AI Cannot Replace,,,"Blibli Headquarters, Sarana Jaya, 5th Floor",IN_PERSON,cover,,needs_review,"Caption omits logistics; cover OCR indicates Wednesday in August 2026 and 18:30 but the day number is not reliable enough to label"
IDR-008-C01,IDR-008,EVENT,Indonesia Product Conference 2026,2026-09-24,,"Sheraton Hotel, Gandaria City, Jakarta",IN_PERSON,caption,,caption_only,"Main conference; distinct attendance decision from the September 5 Road to IPC meetup"
